model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_resets,learn_steps,test_resets,test_steps,extension_rule,separation_rule,time
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003563971999938076
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035228790000019217
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003540469999961715
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035187359999326873
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035466629999518773
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003509601999894585
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035161490000064077
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035590580000643968
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003552132999857349
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003559651000159647
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035427010000148584
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034873110000717134
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0036103840000123455
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003575716999876022
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035992960001749452
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003626194000162286
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0037727689998519054
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0036887229998683324
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0036968759998217138
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035497410001426033
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003625119999924209
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034971439999935683
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0036178320001454267
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035448849998829246
