model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_queries,learn_steps,test_queries,test_steps,time
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6374587350001093
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6559873879887164
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6599946540081874
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6509761580091435
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6865090589853935
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6602877659897786
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6414086089935154
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6493073329911567
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6447178840171546
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6509264250053093
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6472535659850109
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6458611249981914
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6609927130048163
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6541370550112333
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6513710040017031
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6487451869761571
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6459763909806497
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6587268089933787
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6405872640025336
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6439150139922276
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6494670090032741
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6407346829946619
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6430197739973664
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6504831310012378
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6476968259958085
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6599820950068533
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6653184109891299
LoesTarget,6,3,18,3,102,381,758,4363,0.0025716930103953928
LoesTarget,6,3,18,3,102,404,758,4481,0.0023808169935364276
LoesTarget,6,3,18,3,102,383,758,4364,0.002290370990522206
LoesTarget,6,3,18,3,102,381,758,4363,0.0023192979861050844
LoesTarget,6,3,18,3,102,383,758,4364,0.0023057209909893572
LoesTarget,6,3,18,3,102,383,758,4364,0.002276670013088733
LoesTarget,6,3,18,3,102,426,836,5127,0.0024568670196458697
LoesTarget,6,3,18,3,103,386,758,4364,0.0022440710163209587
LoesTarget,6,3,18,3,102,426,836,5127,0.0024387140001636
LoesTarget,6,3,18,3,102,383,758,4364,0.002291366021381691
LoesTarget,6,3,18,3,102,405,797,4746,0.002362625004025176
LoesTarget,6,3,18,3,102,426,836,5127,0.002432485023746267
LoesTarget,6,3,18,3,102,404,797,4745,0.002384451014222577
LoesTarget,6,3,18,3,102,427,797,4902,0.0023936830111779273
LoesTarget,6,3,18,3,103,432,797,4903,0.0023997940006665885
LoesTarget,6,3,18,3,102,404,797,4745,0.00230397199629806
LoesTarget,6,3,18,2,80,313,679,3950,0.0018600569746922702
LoesTarget,6,3,18,3,102,404,797,4745,0.0023795010056346655
LoesTarget,6,3,18,3,102,381,758,4363,0.002343803003896028
LoesTarget,6,3,18,3,102,381,758,4363,0.0022950900020077825
LoesTarget,6,3,18,3,102,381,758,4363,0.0022965570096857846
LoesTarget,6,3,18,3,102,406,758,4482,0.0023077770019881427
LoesTarget,6,3,18,3,102,383,758,4364,0.0022463340137619525
LoesTarget,6,3,18,3,102,404,758,4481,0.002313356992090121
LoesTarget,6,3,18,2,79,305,679,3949,0.0018453749944455922
LoesTarget,6,3,18,3,102,381,758,4363,0.0022925079974811524
LoesTarget,6,3,18,3,102,404,797,4745,0.002373007999267429
LoesTarget,6,3,18,2,79,305,679,3949,0.0018442639848217368
LoesTarget,6,3,18,3,104,399,758,4367,0.002289134979946539
LoesTarget,6,3,18,2,80,313,679,3950,0.0018698270141612738
LoesTarget,6,3,18,3,102,381,758,4363,0.00232781600789167
LoesTarget,6,3,18,3,104,422,797,4749,0.002379947021836415
LoesTarget,6,3,18,3,103,386,758,4364,0.0022653980122413486
LoesTarget,6,3,18,3,102,404,797,4745,0.002437182003632188
LoesTarget,6,3,18,3,102,404,797,4745,0.002446347993100062
LoesTarget,6,3,18,3,102,404,797,4745,0.002491164021193981
LoesTarget,6,3,18,2,80,313,679,3950,0.001854628004366532
LoesTarget,6,3,18,3,104,399,758,4367,0.0023903730034362525
LoesTarget,6,3,18,3,102,403,797,4745,0.0025344349851366132
LoesTarget,6,3,18,3,102,426,836,5127,0.0025515460001770407
LoesTarget,6,3,18,3,103,386,758,4364,0.0023486450081691146
LoesTarget,6,3,18,3,102,381,758,4363,0.0023860650253482163
LoesTarget,6,3,18,2,80,313,679,3950,0.001892598025733605
LoesTarget,6,3,18,3,103,386,758,4364,0.0023286239884328097
LoesTarget,6,3,18,3,102,381,758,4363,0.0023863240203354508
LoesTarget,6,3,18,3,102,381,758,4363,0.002319542021723464
LoesTarget,6,3,18,3,102,404,797,4745,0.002476199995726347
LoesTarget,6,3,18,3,102,381,758,4363,0.002330602001165971
LoesTarget,6,3,18,3,102,404,797,4745,0.0024473490193486214
LoesTarget,6,3,18,3,102,404,797,4745,0.002421535988105461
LoesTarget,6,3,18,3,102,381,758,4363,0.0023243089963216335
LoesTarget,6,3,18,3,104,399,758,4367,0.0023090690083336085
LoesTarget,6,3,18,3,102,381,758,4363,0.002278945001307875
LoesTarget,6,3,18,2,80,313,679,3950,0.0018627300160005689
LoesTarget,6,3,18,3,102,404,758,4481,0.0023228380014188588
LoesTarget,6,3,18,3,102,381,758,4363,0.0023183589801192284
LoesTarget,6,3,18,3,102,381,758,4363,0.0023556509986519814
LoesTarget,6,3,18,3,102,383,758,4364,0.0022816880082245916
LoesTarget,6,3,18,3,102,383,758,4364,0.002254549995996058
