model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_resets,learn_steps,test_resets,test_steps,extension_rule,seperation_rule,time
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22375,121978,SepSeq,SepSeq,0.06175885099946754
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22374,121974,SepSeq,SepSeq,0.06540410199886537
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22374,121975,SepSeq,SepSeq,0.0625535189974471
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22377,121987,SepSeq,SepSeq,0.06537986700277543
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22377,121985,SepSeq,SepSeq,0.059752319000835996
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22375,121978,SepSeq,SepSeq,0.06521438100025989
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,148,527,22381,122002,SepSeq,SepSeq,0.06691396499809343
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,108,363,22376,121983,SepSeq,SepSeq,0.06751088799865101
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,106,330,22376,121983,SepSeq,SepSeq,0.06496289300048375
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,107,361,22387,122025,SepSeq,SepSeq,0.06788834199687699
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,365,22379,121994,SepSeq,SepSeq,0.06094051099717035
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22374,121976,SepSeq,SepSeq,0.06525906800015946
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22376,121982,SepSeq,SepSeq,0.061582911999721546
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22374,121976,SepSeq,SepSeq,0.06551530999786337
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,109,366,22375,121980,SepSeq,SepSeq,0.06163671799731674
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22376,121982,SepSeq,SepSeq,0.06522904300072696
