name,learned,rounds,num_states,num_inputs,learn_inputs,learn_resets,test_inputs,test_resets,ads_score,learning_algorithm,time,seed
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,376,115,15956,3384,0,lsharp_Nothing_Ads,0.034438731,470
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,467,135,6890,1579,0,lsharp_Nothing_Ads,0.018041704,560
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,376,114,13918,2979,0,lsharp_Nothing_Ads,0.03306274,578
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,333,105,16628,3594,0,lsharp_Nothing_Ads,0.028568998,580
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,346,106,19820,3930,0,lsharp_Nothing_Ads,0.046721976,597
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,470,135,11372,2620,0,lsharp_Nothing_Ads,0.015879614,661
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,369,112,21024,4588,0,lsharp_Nothing_Ads,0.03879987,689
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,379,116,12570,2591,0,lsharp_Nothing_Ads,0.017796003,692
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,360,110,17306,3413,0,lsharp_Nothing_Ads,0.033514887,783
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,372,113,21870,4827,0,lsharp_Nothing_Ads,0.040585494,818
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,367,113,16572,3748,0,lsharp_Nothing_Ads,0.02675073,879
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,430,125,10496,2180,0,lsharp_Nothing_Ads,0.028736571,930
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,357,109,15704,3146,0,lsharp_Nothing_Ads,0.038282584,968
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,397,121,6274,1411,0,lsharp_Nothing_Ads,0.013795066,995
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,390,119,10716,2380,0,lsharp_Nothing_Ads,0.02168289,1004
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,454,133,5904,1186,0,lsharp_Nothing_Ads,0.016021802,1005
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,357,109,22956,4910,0,lsharp_Nothing_Ads,0.037112374,1190
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,345,111,3188,668,0,lsharp_Nothing_Ads,0.01191894,1205
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,463,135,4924,1186,0,lsharp_Nothing_Ads,0.01612267,1257
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,369,113,15592,3160,0,lsharp_Nothing_Ads,0.030560652,1320
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,380,116,17076,3930,0,lsharp_Nothing_Ads,0.015339993,1534
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,358,109,18056,3734,0,lsharp_Nothing_Ads,0.039156867,1541
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,370,112,18254,3963,0,lsharp_Nothing_Ads,0.032961081,1596
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,414,125,2432,444,0,lsharp_Nothing_Ads,0.019475333,1607
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,361,110,21584,4714,0,lsharp_Nothing_Ads,0.067364216,1665
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,372,113,17608,3790,0,lsharp_Nothing_Ads,0.037379176,1836
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,445,129,15508,3342,0,lsharp_Nothing_Ads,0.019200813,1989
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,336,107,11532,2418,0,lsharp_Nothing_Ads,0.021150676,2015
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,371,115,11392,2166,0,lsharp_Nothing_Ads,0.021272428,2143
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,325,104,10244,2040,0,lsharp_Nothing_Ads,0.024964523,2147
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,331,104,20268,4364,0,lsharp_Nothing_Ads,0.026905956,2199
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,346,108,16852,3566,0,lsharp_Nothing_Ads,0.029909348,2221
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,347,108,15396,2964,0,lsharp_Nothing_Ads,0.042068488,2263
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,136,2870,615,0,lsharp_Nothing_Ads,0.011383691,2283
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,392,120,3944,794,0,lsharp_Nothing_Ads,0.012252383,2365
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,283,94,23656,4602,0,lsharp_Nothing_Ads,0.034142621,2370
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,341,109,13688,3006,0,lsharp_Nothing_Ads,0.021348793,2408
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,325,103,17524,3384,0,lsharp_Nothing_Ads,0.025777058,2495
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,467,135,6196,1398,0,lsharp_Nothing_Ads,0.013102487,2528
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,312,100,20828,4392,0,lsharp_Nothing_Ads,0.034068858,2554
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,325,103,20464,4168,0,lsharp_Nothing_Ads,0.028511877,2558
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,476,138,2018,473,0,lsharp_Nothing_Ads,0.011217037,2561
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,332,107,12820,2404,0,lsharp_Nothing_Ads,0.019176627,2588
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,373,113,18812,4154,0,lsharp_Nothing_Ads,0.018406024,2610
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,394,120,14220,3356,0,lsharp_Nothing_Ads,0.014252418,2619
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,466,136,1592,402,0,lsharp_Nothing_Ads,0.013117604,2679
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,436,130,8816,2194,0,lsharp_Nothing_Ads,0.014660967,2773
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,380,118,8144,1788,0,lsharp_Nothing_Ads,0.017412564,2816
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,335,105,15956,3384,0,lsharp_Nothing_Ads,0.029629134,2950
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,365,113,9908,1984,0,lsharp_Nothing_Ads,0.018291791,2966
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,318,101,24776,5148,0,lsharp_Nothing_Ads,0.043870398,2969
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,402,123,7416,1634,0,lsharp_Nothing_Ads,0.015242505,2983
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,373,113,19764,4378,0,lsharp_Nothing_Ads,0.03532251,3044
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,384,117,14154,3149,0,lsharp_Nothing_Ads,0.027179343,3101
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,387,118,6974,1397,0,lsharp_Nothing_Ads,0.022945759,3131
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,375,116,14612,3356,0,lsharp_Nothing_Ads,0.015233438,3147
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,466,134,9322,2017,0,lsharp_Nothing_Ads,0.01931742,3169
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,469,136,10026,2363,0,lsharp_Nothing_Ads,0.015219635,3209
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,353,108,21864,4728,0,lsharp_Nothing_Ads,0.029459745,3211
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,338,105,20380,4350,0,lsharp_Nothing_Ads,0.03537661,3213
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,354,109,15508,2950,0,lsharp_Nothing_Ads,0.029604856,3235
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,399,122,11756,2782,0,lsharp_Nothing_Ads,0.018411026,3265
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,458,134,3160,598,0,lsharp_Nothing_Ads,0.011957155,3350
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,351,108,20884,4532,0,lsharp_Nothing_Ads,0.028733659,3383
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,385,117,7848,1608,0,lsharp_Nothing_Ads,0.030041536,3415
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,469,136,4140,990,0,lsharp_Nothing_Ads,0.01479075,3444
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,346,108,17552,3356,0,lsharp_Nothing_Ads,0.042342897,3496
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,359,109,25896,5596,0,lsharp_Nothing_Ads,0.045228228,3528
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,466,135,3552,794,0,lsharp_Nothing_Ads,0.017731443,3588
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,372,113,20212,4420,0,lsharp_Nothing_Ads,0.042534793,3658
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,376,114,11662,2407,0,lsharp_Nothing_Ads,0.034204616,3743
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,425,126,17356,3748,0,lsharp_Nothing_Ads,0.016384602,3769
